player_name,date,overall_level,overall_xp,overall_rank,attack_level,attack_xp,attack_rank,defence_level,defence_xp,defence_rank,strength_level,strength_xp,strength_rank,hitpoints_level,hitpoints_xp,hitpoints_rank,ranged_level,ranged_xp,ranged_rank,prayer_level,prayer_xp,prayer_rank,magic_level,magic_xp,magic_rank,cooking_level,cooking_xp,cooking_rank,woodcutting_level,woodcutting_xp,woodcutting_rank,fletching_level,fletching_xp,fletching_rank,fishing_level,fishing_xp,fishing_rank,firemaking_level,firemaking_xp,firemaking_rank,crafting_level,crafting_xp,crafting_rank,smithing_level,smithing_xp,smithing_rank,mining_level,mining_xp,mining_rank,herblore_level,herblore_xp,herblore_rank,agility_level,agility_xp,agility_rank,thieving_level,thieving_xp,thieving_rank,slayer_level,slayer_xp,slayer_rank,farming_level,farming_xp,farming_rank,runecraft_level,runecraft_xp,runecraft_rank,hunter_level,hunter_xp,hunter_rank,construction_level,construction_xp,construction_rank,sailing_level,sailing_xp,sailing_rank,abyssal_sire_kc,abyssal_sire_rank,alchemical_hydra_kc,alchemical_hydra_rank,amoxliatl_kc,amoxliatl_rank,araxxor_kc,araxxor_rank,artio_kc,artio_rank,barrows_chests_kc,barrows_chests_rank,bryophyta_kc,bryophyta_rank,callisto_kc,callisto_rank,calvarion_kc,calvarion_rank,cerberus_kc,cerberus_rank,chambers_of_xeric_kc,chambers_of_xeric_rank,chambers_of_xeric_challenge_mode_kc,chambers_of_xeric_challenge_mode_rank,chaos_elemental_kc,chaos_elemental_rank,chaos_fanatic_kc,chaos_fanatic_rank,commander_zilyana_kc,commander_zilyana_rank,corporeal_beast_kc,corporeal_beast_rank,crazy_archaeologist_kc,crazy_archaeologist_rank,dagannoth_prime_kc,dagannoth_prime_rank,dagannoth_rex_kc,dagannoth_rex_rank,dagannoth_supreme_kc,dagannoth_supreme_rank,deranged_archaeologist_kc,deranged_archaeologist_rank,doom_of_mokhaiotl_kc,doom_of_mokhaiotl_rank,duke_sucellus_kc,duke_sucellus_rank,general_graardor_kc,general_graardor_rank,giant_mole_kc,giant_mole_rank,grotesque_guardians_kc,grotesque_guardians_rank,hespori_kc,hespori_rank,kalphite_queen_kc,kalphite_queen_rank,king_black_dragon_kc,king_black_dragon_rank,kraken_kc,kraken_rank,kree_arra_kc,kree_arra_rank,kril_tsutsaroth_kc,kril_tsutsaroth_rank,lunar_chests_kc,lunar_chests_rank,mimic_kc,mimic_rank,nex_kc,nex_rank,nightmare_kc,nightmare_rank,phosanis_nightmare_kc,phosanis_nightmare_rank,obor_kc,obor_rank,phantom_muspah_kc,phantom_muspah_rank,sarachnis_kc,sarachnis_rank,scorpia_kc,scorpia_rank,scurrius_kc,scurrius_rank,skotizo_kc,skotizo_rank,sol_heredit_kc,sol_heredit_rank,spindel_kc,spindel_rank,tempoross_kc,tempoross_rank,gauntlet_kc,gauntlet_rank,corrupted_gauntlet_kc,corrupted_gauntlet_rank,hueycoatl_kc,hueycoatl_rank,leviathan_kc,leviathan_rank,royal_titans_kc,royal_titans_rank,whisperer_kc,whisperer_rank,theatre_of_blood_kc,theatre_of_blood_rank,theatre_of_blood_hard_mode_kc,theatre_of_blood_hard_mode_rank,thermonuclear_smoke_devil_kc,thermonuclear_smoke_devil_rank,tombs_of_amascut_kc,tombs_of_amascut_rank,tombs_of_amascut_expert_mode_kc,tombs_of_amascut_expert_mode_rank,tzkal_zuk_kc,tzkal_zuk_rank,tztok_jad_kc,tztok_jad_rank,vardorvis_kc,vardorvis_rank,venenatis_kc,venenatis_rank,vetion_kc,vetion_rank,vorkath_kc,vorkath_rank,wintertodt_kc,wintertodt_rank,yama_kc,yama_rank,zalcano_kc,zalcano_rank,zulrah_kc,zulrah_rank
Plumber King,2025-12-09,1768,92755287,906352,85,3258958,985005,91,6426442,591473,85,3261749,1432418,89,5295378,1172306,84,2999422,1348890,81,2200510,541896,82,2450309,1451817,91,5915633,600289,82,2457218,691689,99,21112227,11101,69,713128,1405634,99,13093000,230753,85,3285146,501196,96,9968485,153538,91,5926963,317495,58,244613,1416513,75,1226398,803465,58,240220,1487133,75,1311232,1014972,73,1062758,1045494,29,12650,-1,30,13503,-1,60,279345,1278997,1,0,-1,0,,0,,0,,0,,19,977018.0,26,67199.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,521128.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,3266,3893.0,0,,206,74758.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,435,340667.0,0,,0,,0,
LeParagon,2025-12-09,1767,91130800,908545,99,13034443,468405,94,8570050,501835,99,13382788,524050,99,20192531,405741,97,11662757,668517,70,802181,1180882,93,7381869,869531,80,1998872,988090,71,890711,1369008,1,-1,-1,73,1033336,1107454,1,-1,-1,73,1002970,1042919,76,1445329,691758,73,1052455,1086466,70,757700,1024833,70,802457,1225530,58,246791,1479818,82,2612296,756106,70,775412,1219270,52,133852,1332636,71,815637,1010313,80,2070273,708591,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,569482.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3737,948.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Hardlycatch,2025-12-09,1767,92168149,908533,90,5351059,788213,88,4532044,759618,90,5347348,1195134,90,5776514,1124523,81,2355337,1480929,70,752359,1322781,86,3626235,1202935,72,911032,1347652,70,804667,1502290,60,285994,1835506,70,762220,1315775,50,107855,-1,83,2933368,536157,78,1666147,639995,71,841866,1298270,70,791024,954335,71,860174,1137669,99,45110086,7061,83,2905760,720709,77,1612341,901083,61,321679,965327,86,3729739,315176,70,783301,985350,1,0,-1,0,,0,,0,,0,,0,,11,153826.0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,5,336835.0,0,
Intudox,2025-12-09,1767,91694940,908541,97,11167212,503639,91,6146745,606972,99,13462967,507855,99,18355728,460598,99,14660941,475641,80,2007154,617506,94,8434842,765163,70,806885,1481585,70,782588,1546173,72,916798,1173370,70,754071,1328189,60,286491,-1,70,748481,1329306,71,860330,1066605,71,840422,1299963,70,789377,957571,73,1030715,952497,65,451276,1234520,92,6640345,440817,70,780824,1212314,41,42180,1692427,70,784683,1047187,72,943885,863055,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,216,179598.0,232,478726.0,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,150,394068.0,0,,0,,0,,0,
MakeRWTLegal,2025-12-09,1767,90677844,908553,82,2672658,1066118,82,2430102,999750,99,14126978,424232,99,17412192,493125,99,19225825,325854,77,1579415,729034,99,16256071,255158,70,738317,1848268,70,796381,1516967,70,745896,1336945,70,737837,1379654,70,756299,1568374,71,833945,1162682,75,1324829,732482,71,826970,1316327,79,1864838,592964,77,1529885,625097,70,740330,1107673,78,1780822,893721,70,782188,1210278,35,22622,1939752,70,777942,1076393,83,2715502,557267,1,0,-1,0,,0,,0,,34,114450.0,43,772699.0,0,,80,145036.0,0,,0,,148,126563.0,0,,5,299033.0,2,,1,,0,,1,,0,,0,,0,,0,,0,,0,,356,129804.0,0,,0,,0,,0,,12,682481.0,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,13,385631.0,41,114036.0,0,,0,,1,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,10,163773.0,1,115016.0,8,163387.0,0,,180,63516.0,0,,382,232908.0,8,1720111.0,0,,0,,208,323984.0
XpFarm,2025-12-09,1567,38159947,1298895,78,1641246,1406666,76,1463815,1319540,80,2169997,1639868,79,1977224,1761981,76,1452957,1799415,59,265307,1787352,94,8647056,747898,99,13070875,321532,74,1153964,1162108,70,737791,1385775,68,620002,1488390,76,1411660,1191300,63,392671,1657597,59,248432,1734830,65,453242,1746626,57,208717,1513078,62,340716,1799845,52,135376,-1,74,1184596,1059536,59,267063,1470823,41,41749,1696088,53,139189,1669709,52,136302,1447682,1,0,-1,0,,0,,0,,0,,9,1097401.0,0,,0,,0,,0,,0,,0,,0,,11,315022.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,96,948026.0,0,,0,,0,
GIM altje,2025-12-09,1567,38349035,1298887,90,5672375,726667,90,5604428,653174,90,5687880,1114967,92,6723589,1041127,80,2130714,1547156,70,753130,1318317,80,2077640,1557263,71,856389,1400927,82,2505970,683335,70,739664,1362051,83,2750616,591570,62,339803,1953390,1,-1,-1,60,274897,1687374,1,-1,-1,54,152746,1614269,70,804289,1222970,53,141597,1882679,59,248048,1702180,59,258882,1475720,37,29733,1860023,51,113977,1715292,55,172365,1381023,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,129,244779.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,192,123604.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16,1581123.0,0,,0,,0,
1ticksquirt,2025-12-09,1567,38618583,1298879,1,-1,-1,1,-1,-1,88,4487574,1268556,84,3255032,1451759,87,4171591,1170638,1,-1,-1,99,13259641,448859,70,755714,1744509,70,793258,1522604,1,-1,-1,1,-1,-1,67,553600,1721836,70,764948,1278625,71,815789,1159446,71,845277,1294282,71,848936,891541,75,1218775,811377,67,555787,1176414,70,802539,1233505,71,870125,1135629,55,166805,1269438,71,837337,979877,83,2777759,499426,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,1532168.0,0,,0,,0,
WoodCutnFam,2025-12-09,1567,38164965,1298894,77,1569367,1422091,81,2264210,1031234,78,1797633,1798209,86,3959768,1335735,87,4356926,1151345,70,751593,1327448,88,4663619,1079170,1,-1,-1,94,8443818,302067,86,3937103,565003,1,-1,-1,1,-1,-1,61,323007,1820639,60,299087,1628325,76,1471224,868126,63,371464,1247542,1,-1,-1,72,899795,1014330,77,1538158,949302,43,52656,1828805,45,65678,1544207,69,727197,1159341,1,-1,-1,1,0,-1,0,,0,,0,,0,,112,493312.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,178,36088.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Christ luv u,2025-12-09,1567,38329083,1298888,81,2256191,1201246,79,1915846,1234070,80,2000858,1720613,83,2926192,1515626,83,2837217,1376113,65,461824,1540633,76,1414837,1801978,83,2701145,854029,82,2482523,687302,72,907632,1179207,66,499161,1637547,99,13054614,286588,63,403137,1644419,60,276877,1677882,75,1324564,927450,60,273826,1375061,56,189896,-1,37,27875,-1,77,1538379,949249,66,535843,1332426,57,203777,1179675,17,3128,-1,49,93741,1734072,1,0,-1,0,,0,,0,,0,,23,935963.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16,503821.0,0,,0,,0,,25,578966.0,0,,0,,0,,0,,0,,0,,0,,0,,14,120116.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,530,252728.0,0,,0,,0,
NukeMoose,2025-12-09,2376,623009399,3744,99,58223833,6239,99,27908271,22661,99,58353715,41111,99,90398696,22331,99,76713464,35072,99,14038864,19242,99,46223812,20618,99,13324574,198804,99,13462553,122642,99,13315229,100462,99,13143677,107766,99,13530265,117551,99,13384030,119983,99,13068712,111263,99,13753826,81844,99,13298040,67484,99,13238345,64275,99,13319233,126499,99,36226430,10392,99,14802789,152482,99,13779708,34603,99,13042248,122655,99,13373439,30384,99,13085646,4297,557,130362.0,114,32415.0,2233,7091.0,3,,129,452664.0,5,325528.0,522,42420.0,20,218972.0,150,273177.0,157,122343.0,64,40755.0,108,57602.0,43,144089.0,134,128744.0,84,92821.0,28,282503.0,256,127501.0,277,179832.0,241,132991.0,25,152083.0,34,26353.0,2953,1865.0,168,215018.0,285,135061.0,75,221682.0,67,178647.0,339,41279.0,44,475904.0,3954,36880.0,204,80806.0,111,133252.0,135,124209.0,13,18829.0,102,113127.0,21,82179.0,10,49394.0,33,44154.0,127,104005.0,335,55186.0,508,11943.0,678,21464.0,0,,40,123984.0,2,,1,,343,52225.0,13,246115.0,66,207114.0,117,53599.0,1302,7482.0,188,109129.0,1339,3782.0,83,61123.0,0,,279,189479.0,229,9836.0,198,39869.0,1,94386.0,31,21291.0,2242,8523.0,26,174664.0,1,,876,101835.0,484,307754.0,885,8238.0,493,26857.0,461,232941.0
